Combined_Ingredients,Label
"Lentil dumplings, , Yogurt, Tamarind chutney, spices",1
"Chicken, , Cream, Spices",1
"Paneer, , Ghee, Peas, spices",1
"Paneer, Sugar, , Rose water, syrup",1
"Milk, Sugar, Ghee, Cardamom, nuts",1
"Chicken, , Ghee, Creamy sauce, spices",1
"Milk solids, Sugar, Ghee, Cardamom syrup",1
"Lamb, , Ghee, Yogurt, Kashmiri red chili",1
"Rice, Sugar, Ghee, Cardamom, nuts",1
"Paneer, Sugar, Milk, Ghee, Cardamom, nuts",1
"Chicken breast, , Olive oil, Parmesan cheese",1
"Chocolate, Sugar, Heavy cream, Vanilla extract",1
"Bacon, , Heavy cream, Cheese, eggs",1
"Chicken, , Butter, Lemon, capers",1
"Chicken, , Ghee, Tikka masala sauce",1
"Sweet potatoes, Brown sugar, Butter, Cinnamon, nutmeg",1
"Brie cheese, , , Herbs, nuts",1
"Onions, , Butter, Beef broth, cheese, bread",1
"Lamb/Chicken, , , Tzatziki sauce, vegetables",1
"Onions, , Butter, Beef broth, cheese, bread",1
"Eggs, , Butter, Salt, pepper",1
"Eggs, Mayonnaise, , Celery, onion",1
"Eggs, Mayonnaise, , Celery, onion",1
"Eggs, , Cheese, Vegetables",1
"Eggs, Mayonnaise, , Celery, mustard",1
"Eggs, , Sesame oil, Soy sauce",1
"Fish fillets, , Vegetable oil, Salt",1
"Fish fillets, , Vegetable oil, Salt",1
"Salmon fillet, , Olive oil, Lemon, herbs",1
"Salmon, , Vegetable oil, Teriyaki sauce",1
"Salmon, , Olive oil, Lemon, herbs",1
"Salmon, , Olive oil, Lemon, dill",1
"Salmon, , Olive oil, Lemon, herbs",1
"Fish, , Coconut oil, Tamarind, spices",1
"Cod, , Butter, Lemon, herbs",1
"Cod, , Butter, Lemon, herbs",1
"Tuna, Mayonnaise, , Salt, Pepper",1
"Tuna, Mayonnaise, , Celery, onion",1
"Fish (salmon, tuna), Rice vinegar, Sesame oil, Soy sauce",1
"Salmon fillet, Sugar, Soy sauce, Ginger, garlic",1
"Sushi rice, , Soy sauce, Raw fish, vegetables",1
"Salmon, Honey, Soy sauce, Garlic, ginger",1
"Sushi rice, , Soy sauce, Raw fish, vegetables",1
"Salmon, Honey, Soy sauce, Garlic, ginger",1
"Sugar, Cocoa butter, Milk powder, Vanilla extract",1
"Sugar, Cocoa butter, Milk powder, Vanilla extract",1
"Milk, Sugar, Cream, Vanilla extract",1
"Yogurt (milk, cultures), Sugar, , Vanilla extract",1
"Yogurt (milk, cultures), Sugar, , Pectin",1
"Yogurt (milk, cultures), Sugar, , Pectin",1
"Tomatoes, , , Salt, Sugar",0
"Apples, , , ",0
"Tomatoes, , , Salt, Sugar",0
"Apples, , , ",0
"Oranges, Sugar, , ",0
"Cucumber, , Olive oil, Lemon juice",0
"Ground beef, Sugar, Olive oil, Tomato sauce",1
"Chicken breast, Honey, Mustard, Vegetable oil",1
"Pork ribs, Brown sugar, Vegetable oil, BBQ sauce",1
"Quinoa, , Olive oil, Lemon juice, herbs",0
"Mixed vegetables, , Vegetable oil, Soy sauce",0
"Ground beef, , Vegetable oil, Salt, Pepper",0
"Potatoes, , Vegetable oil, Salt",0
"Lemon juice, Sugar, Water, ",0
"Tomatoes, , Olive oil, Garlic, herbs",0
"Ground beef, , Vegetable oil, Taco seasoning",0
"Lentils, , Olive oil, Vegetables",0
"Chicken, , Vegetable oil, Curry powder",0
"Eggplant, , Olive oil, Tomatoes",0
"Pasta, , Olive oil, Basil, garlic",0
"Chicken, , Vegetable oil, Soy sauce",0
"Mixed vegetables, , Vegetable oil, Seasonings",0
"Mixed vegetables, , Olive oil, Seasonings",0
"Spinach, , Olive oil, Balsamic vinegar",0
"Chicken, , Vegetable oil, Enchilada sauce",0
"Vegetables, , Olive oil, Tomato broth",0
"Tomatoes, , , Onion, cilantro",0
"Chicken, , Olive oil, Lemon juice, garlic",0
"Pasta, , Pancetta, Garlic, herbs",0
"Chicken, , Vegetable oil, Teriyaki sauce",0
"Chicken, , Olive oil, Spinach, garlic",0
"Chicken, , Coconut milk, Curry paste",0
"Apples, Sugar, , Cinnamon",0
"Eggplant, , Olive oil, Tomatoes, zucchini",0
"Avocado, , Olive oil, Salt, pepper",0
"Beef, , Vegetable oil, Soy sauce",0
"Black beans, , Olive oil, Vegetables",0
"Ground beef, , Vegetable oil, Taco seasoning",0
"Cucumber, , Olive oil, Lemon juice, dill",0
"Mixed fruits, Sugar, , Lemon juice",0
"Sausage, , , Mozzarella cheese",0
"Chicken, , Vegetable oil, Fajita seasoning",0
"Mango, , , Red onion, lime",0
"Lentils, , Coconut milk, Curry powder",0
"Spinach, Honey, Avocado, Almond milk",0
"Bell peppers, , Olive oil, Ground meat, rice",0
"Beef, , Vegetable oil, Soy sauce",0
"Cabbage, , Olive oil, Ground meat, rice",0
"Apples, Caramel, , ",0
"Sweet potatoes, , Vegetable oil, Salt, paprika",0
"Ground beef, , , Chili powder",0
"Chicken, , Pesto sauce, ",0
"Ground beef, , Vegetable oil, Taco seasoning",0
"Chicken, , Olive oil, Shawarma spices",0
"Mushrooms, , , Garlic, herbs",0
"Zucchini, , Olive oil, Garlic, herbs",0
"Chicken, Sugar, Vegetable oil, Pineapple, bell peppers",0
"Beef, , Olive oil, Seasonings",0
"Tomatoes, , Olive oil, Garlic, basil",0
"Quinoa, , Olive oil, Vegetables, spices",0
"Mixed vegetables, , Olive oil, Salt, pepper",0
"Vegetables, , Olive oil, Herbs, garlic",0
"Beef, , Vegetable oil, Taco seasoning",0
"Quinoa, , Olive oil, Lemon juice, vegetables",0
"Mixed vegetables, , Vegetable oil, Soy sauce",0
"Chicken wings, , Vegetable oil, Buffalo sauce",0
"Lentils, , Olive oil, Vegetables",0
"Cabbage, , Olive oil, Ground meat, rice",0
"Chicken, , Vegetable oil, Orange sauce",0
"Chicken, Honey, Olive oil, Mustard, herbs",0
"Lentils, , Olive oil, Lemon juice, vegetables",0
"Chicken, , Olive oil, Cilantro, lime",0
"Pizza dough, , Olive oil, Ratatouille vegetables",0
"Chicken, , Coconut milk, Curry powder",0
"Pasta, , Pesto sauce, Tomatoes, vegetables",0
"Beef, , Vegetable oil, Soy sauce",0
"Tofu, , Coconut milk, Curry paste",0
"Bell peppers, , Olive oil, Ground meat, rice",0
"Bell peppers, , Olive oil, Ground meat, rice",0
"Eggplant, , Olive oil, Ground meat, potatoes",0
"Brussels sprouts, , Olive oil, Balsamic glaze",0
"Chicken wings, , Olive oil, Seasonings",0
"Mango, Sugar, Coconut milk, ",0
"Pasta, , Olive oil, Ratatouille vegetables",0
"Chicken, , Vegetable oil, Noodles, vegetables",0
"Mango, , , Lime juice, cilantro",0
"Spinach, , Olive oil, Balsamic vinaigrette",0
"Onions, Sugar, Butter, ",0
"Beef, , Vegetable oil, Soy sauce",0
"Spinach, , , Strawberries, vinaigrette",0
"Vegetables, , Olive oil, Puff pastry, herbs",0
"Carrots, Honey, Butter, ",0
"Cucumbers, , Olive oil, Vinegar, herbs",0
"Potatoes, , Olive oil, Lemon juice, herbs",0
"Tomatoes, , , Herbs, breadcrumbs",0
"Avocado, , Olive oil, Salt, pepper",0
"Chicken, , Olive oil, Lemon pepper seasoning",0
"Chicken, , Olive oil, Shawarma seasoning",0
"Chicken, , Olive oil, Lemon, herbs",0
"Chicken, , Olive oil, Lemon juice, herbs",0
"Brussels sprouts, , Olive oil, Balsamic glaze",0
"Beef, , Vegetable oil, Burrito seasoning",0
"Spinach, , , Raspberries, vinaigrette",0
"Chicken, , Vegetable oil, Rice, vegetables",0
"Chicken, , Vegetable oil, Fajita seasoning",0
"Mixed vegetables, , Coconut milk, Curry paste",0
"Vegetables, , Olive oil, Herbs",0
"Pasta, , Pesto sauce, Tomatoes, vegetables",0
"Beef, , Vegetable oil, Soy sauce",0
"Tofu, , Coconut milk, Curry paste",0
"Bell peppers, , Olive oil, Ground meat, rice",0
"Eggplant, , Olive oil, Ground meat, potatoes",0
"Brussels sprouts, , Olive oil, Balsamic glaze",0
"Chicken wings, , Olive oil, Seasonings",0
"Mango, Sugar, Coconut milk, ",0
"Pasta, , Olive oil, Ratatouille vegetables",0
"Chicken, , Vegetable oil, Noodles, vegetables",0
"Mango, , , Lime juice, cilantro",0
"Spinach, , Olive oil, Balsamic vinaigrette",0
"Onions, Sugar, Butter, ",0
"Beef, , Vegetable oil, Soy sauce",0
"Spinach, , , Strawberries, vinaigrette",0
"Vegetables, , Olive oil, Puff pastry, herbs",0
"Carrots, Honey, Butter, ",0
"Cucumbers, , Olive oil, Vinegar, herbs",0
"Potatoes, , Olive oil, Lemon juice, herbs",0
"Tomatoes, , , Herbs, breadcrumbs",0
"Rice, , Ghee, Biryani masala, spices",0
"Chickpeas, Sugar, Ghee, Chole masala, spices",0
"Rice, , Oil, Potato masala, spices",0
"Potatoes, , Ghee, Spices",1
"Potatoes, , Oil, Cauliflower, spices",0
"Chicken, , Ghee, Basmati rice, spices",0
"Potato, , Oil, Pav bun, chutney",0
"Semolina, Tamarind, , Spiced water, chutney",0
"Kidney beans, , Ghee, Spices",1
"Chicken, , Oil, Curry spices",0
"Mixed vegetables, , Ghee, Basmati rice, spices",0
"Chickpeas, , Oil, Masala spices",0
"Fermented batter, , Oil, Mustard seeds, curry leaves",0
"Chicken, , Ghee, Basmati rice, spices",0
"Mixed vegetables, , Butter, Pav bread, spices",0
"Basmati rice, , Ghee, Meat/vegetables, spices",0
"Chicken, , Oil, Curry spices",0
"Rice, , Oil, Potato masala, chutney",0
"Chickpeas, , Ghee, Kulcha bread, spices",0
"Cauliflower, , Oil, Manchurian sauce",0
"Mutton, , Ghee, Basmati rice, spices",0
"Oats, Sugar, Milk, Cinnamon",1
"Chicken, , Peanut butter, Soy sauce",1
"Peanuts, Sugar, Vegetable oil, Salt",1
"Peanuts, Sugar, Vegetable oil, Salt",1
"Chicken, , Peanut oil, Satay sauce, spices",1
"Chicken, , Peanut oil, Satay sauce, spices",1
"Chicken, , Olive oil, Pesto sauce",1
"Zucchini, , Olive oil, Pesto sauce",1
"Chicken, , Olive oil, Pesto sauce",1
"Rice, Sugar, Milk, Cinnamon, raisins",1
"Shrimp, , Butter, Garlic, lemon",1
"Shrimp, , Butter, Garlic, lemon",1
"Shrimp, , Olive oil, Garlic",1
"Shrimp, , Olive oil, Lemon juice, garlic",1
"Shrimp, , Olive oil, Lemon juice, garlic",1
"Prawns, , Ghee, Basmati rice, spices",1
"Lobster, , Butter, Cream, brandy",1
"Shrimp, , Olive oil, Caesar dressing",1
"Shrimp, , Butter, Garlic, lemon",1
"Lobster, , Butter, Cream, brandy",1
"Shrimp, , Olive oil, Caesar dressing",1
"Prawns, , Coconut milk, Curry spices",1
"Lobster, , Mayonnaise, Celery, lemon juice",1
"Lobster, , Mayonnaise, Celery, lemon juice",1
"Shrimp, , Bacon, Seasonings",1
"Shrimp, , Vegetable oil, Soy sauce",1
"Soybeans, Sugar, , Emulsifiers",1
"Soybeans, Sugar, , Emulsifiers",1
"Tofu, , Vegetable oil, Soy sauce",1
"Miso paste, , , Tofu, seaweed",1
"Tofu, , Vegetable oil, Turmeric, spices",1
"Chicken, , Soy sauce, Honey, ginger",1
"Tofu, , Vegetable oil, Soy sauce",1
"Beef, , Soy sauce, Teriyaki sauce, vegetables",1
"Sushi rice, , Soy sauce, Nori (seaweed), fish",1
"Wheat flour, , , Salt",1
"Wheat flour, , , Salt",1
"Zucchini, Sugar, Vegetable oil, Flour",1
"Chicken, , Butter, Noodles, vegetables",1
"Onions, , Vegetable oil, Flour",1
"Chicken, , Butter, Vegetables, pastry",1
"Portobello mushrooms, , , Burger bun, vegetables",1
"Potatoes, , Ghee, Wheat flour, spices",1
"Oats, Sugar, Butter, Flour",1
"Oats, Sugar, Butter, Flour",1
"Flour, Sugar, Butter, Baking powder",1
"Carrots, Sugar, Vegetable oil, Cinnamon",1
"Blueberries, Sugar, Butter, Flour",1
"Flour, Sugar, Butter, Chocolate chips",1
"Arborio rice, , Butter, Mushroom",1
"Flour, Sugar, Butter, Cinnamon",1
"Pineapple, Sugar, Butter, Flour",1
"Apples, Sugar, Butter, Cinnamon",1
"Bananas, Sugar, Butter, Flour",1
"Flour, Sugar, Butter, Vanilla extract",1
"Apples, Sugar, Butter, Cinnamon",1
"Pasta, , Bacon, Egg, Parmesan cheese",1
"Flour, Sugar, Butter, Blueberries",1
"Flour, Sugar, Butter, Lemon juice",1
"Pumpkin, Sugar, Butter, Cinnamon, nutmeg",1
"Mixed berries, Sugar, Butter, Flour",1
"Bread, , Butter, Garlic",1
"Mixed berries, Sugar, Butter, Flour",1
"Pasta, , Cheese, Tomato sauce",0
"Pasta, , Cheese, Tomato sauce",1
"Lime juice, Sugar, Butter, Graham cracker crust",1
"Flour, Sugar, Butter, Lemon zest, poppy seeds",1
"Chicken, , Butter, Cheese",1
"Flour, Sugar, Butter, Maple syrup",1
"Strawberries, Sugar, Whipped cream, Shortcake",1
"Mixed berries, Sugar, Butter, Oats, cinnamon",1
"Cream cheese, Sugar, Butter, Graham cracker crust, raspberries",1
"Flour, Sugar, Butter, Blueberries",1
"Oats, Brown sugar, Butter, Raisins, cinnamon",1
"Apples, Sugar, Butter, Cinnamon, oats",1
"Chicken, , Enchilada sauce, Cheese, tortillas",1
"Romaine lettuce, , Caesar dressing, Parmesan cheese, croutons",1
"Romaine lettuce, , Caesar dressing, Parmesan cheese, croutons",1
"Graham crackers, Marshmallows, Chocolate, ",1
"Ladyfingers, Sugar, Mascarpone cheese, Coffee, cocoa",1
"Dough, Sugar, Butter, Cinnamon, icing",1
"Chicken, , Caesar dressing, Romaine lettuce, croutons",1
"Vegetables, , Olive oil, Tomato sauce, cheese",1
"Bread, , Butter, Garlic",1
"Pizza dough, , , Chicken, Alfredo sauce",1
"Pasta, , Caesar dressing, Romaine lettuce, Parmesan cheese",1
"Apples, Sugar, Butter, Cinnamon, oats",1
"Apples, Sugar, Butter, Cinnamon, pastry",1
"Chicken, , Olive oil, Tomato sauce, cheese",1
"Pumpkin, Sugar, Butter, Pumpkin spice, pastry",1
"Flour, Sugar, Butter, Blueberries",1
"Pizza dough, , , Sausage, bell peppers",1
"Beef, , Butter, Mushrooms, puff pastry",1
"Pasta, , , Tomato sauce, cheese",1
"Flour, Sugar, Butter, Lemon zest, poppy seeds",1
"Apples, Sugar, Butter, Cinnamon, oats",1
"Chicken, , Enchilada sauce, Cheese, tortillas",1
"Romaine lettuce, , Caesar dressing, Parmesan cheese, croutons",1
"Graham crackers, Marshmallows, Chocolate, ",1
"Ladyfingers, Sugar, Mascarpone cheese, Coffee, cocoa",1
"Dough, Sugar, Butter, Cinnamon, icing",1
"Chicken, , Caesar dressing, Romaine lettuce, croutons",1
"Vegetables, , Olive oil, Tomato sauce, cheese",1
"Bread, , Butter, Garlic",1
"Pizza dough, , , Chicken, Alfredo sauce",1
"Pasta, , Caesar dressing, Romaine lettuce, Parmesan cheese",1
"Apples, Sugar, Butter, Cinnamon, oats",1
"Apples, Sugar, Butter, Cinnamon, pastry",1
"Chicken, , Olive oil, Tomato sauce, cheese",1
"Pumpkin, Sugar, Butter, Pumpkin spice, pastry",1
"Flour, Sugar, Butter, Blueberries",1
"Pizza dough, , , Sausage, bell peppers",1
"Beef, , Butter, Mushrooms, puff pastry",1
"Flour, Sugar, Ghee, Saffron syrup",1
"Flour, , Butter, ",1
"Ladyfingers, Sugar, Mascarpone cheese, coffee liqueur, Cocoa powder",1
"Flour, Sugar, Butter, Cocoa powder",1
"Flour, Sugar, Butter, Chocolate chips",1
"Lemon juice, Sugar, Butter, Flour, eggs",1
"Lemon juice, Sugar, Butter, Flour, eggs",1
"Pecans, Sugar, Butter, Corn syrup",1
"Zucchini, Sugar, Butter, Cinnamon, nuts",1
"Bananas, Sugar, Butter, Cinnamon, nuts",1
"Pizza dough, , , Pineapple, ham",1
